	STAGE	CLUSTER	MATCH N-1	ASSIGNED CELL TYPE/STATE	ENRICHED MARKERS
494	3 dpf	32	2d-20	muscle (mesoderm)	vwde, myog, myod1, jam2a, stc2b, myf5, jam2b, acta1a, rbm24a, chrna1, desma, wif1, ttni2b.1, ttn.2
495	3 dpf	33	2d-40	retina (RGC)	rbpms2b, isl2b, rbpms2a, pou4f2, tkta, pou4f1, irx4a, satb2, oaz2b, pou6f2, pax6a, sncga, grin1a
496	3 dpf	34	2d-37	neural crest derived (pigment/xanthophore)	wu:fc46h12, gch2, urah, slc22a7a, tmem130, akr1b1, bscl2l, paics, pax7b, gpd1b, cax1, bco1, aox5
497	3 dpf	35	2d-31	retina (cone bipolar cells)	gnb3a, vsx1, calb2b, crx, nrn1lb, gng13b, syt5b, neurod4, pcp4l1, samsn1a, rs1a, mpp6b, stx3a, foxg1b
498	3 dpf	36	2d-45	telencephalon (pallium), glutamatergic	eomesa, tbr1b, emx3, neurod6a, palmdb, neurod6b, tac3b, slc17a6a, olfm1a, draxin, r3hdm1, bhlhe22, bhlhe23
499	3 dpf	37	2d-30	glial progenitors	zic2a, zic5, zic1, zic4, zic6, fabp7b, zic3, cldn5a, hepacama, podxl, pax3a, otx1b, draxin, zic2b, msx3, eng2b
500	3 dpf	38	NA	neurons (glutamatergic +)	nefmb, cplx2l, vamp1, tubb2, neflb, nefma, slc18a3a, slc5a7a, emp1, tac1, snap25a, atp1a3b, slc17a6b
501	3 dpf	39	NA	glia	epd, fabp11a, ggctb, igfbp2a, fxyd1
502	3 dpf	40	NA	oligodendrocytes	zwi, scn4ab, cldnk, sox10, hbegfb, phlda2, cd59, mbpb, tua8l3, rgcc, slc35c2, cldn19
503	3 dpf	41	NA	retina (RPE differentiation)	tyrp1b, dct, pmela, tspan36, pmelb, rlbbp1b, slc45a2, tyrp1a, fgfbp1b.1, stra6, gpr143, rdh5, rgra
504	3 dpf	42	2d-33	retina neurogenesis	col15a1b, wfdc1, fabp11a, ggctb, fap7b, zic2b, rx1, slc6a9, six3b, pax6b, pax6a, cx43
505	3 dpf	43	NA	hindbrain/cranial nerve	urp1, hoxb5b, hoxb5a, eng1b, elavl4, hoxa3a, slc6a5, hoxc5a, hoxb6b, hoxc1a, meis3, tmie, hoxb6a
506	3 dpf	44	2d-63	otic vesicle	stm, otomp, bricd5, col9a1b, agr2, atp1a1a.4, cldna, aldh1a3, sox10, sfrp5, col2a1a, col9a2
507	3 dpf	45	2d-44	muscle 	myl1, mylz3, tnnt3b, pvalb4, tpm2, tnni2b.1, ckma, myl13, ckmb, atp2a1, tnnt3a, myl4, acta1b
508	3 dpf	46	NA	microglia	ccl34b.1, apoc1, apoeb, havcr1, fcer1gl, lgals3bpb, lgals2a, ccl34a.4, mfap4, ctsba, coro1a
509	3 dpf	47	NA	cranial ganglion (vagal)	phox2bb, phox2a, p2rx2, prph, isl2a, p2rx3b, tppp2, tusc5b, htr3a, entpd3, nrn1a, ppp1r1c, calb2a
510	3 dpf	48	2d-59	hypothalamus	cbln1, kctd4, tac1, pdyn, rprml, fezf1, rasd1, palmdb, sox1b, nr0b1
511	3 dpf	49	NA	epithelium	cldnb, cldnh, pou2f3, tspan13a, foxi3b, foxi3a, gsm2, cldn7b, myb, mal, s100a11, agr2, s100u
512	3 dpf	50	2d-22	epidermis (progenitors)	aep1, cxl34b.11, thy1, cldni, spaca4l, gstm.3, kera, cldn1, ecrg4b, myh9a, scinla, epgn, egfl6.1
513	3 dpf	51	NA	rostral blood island (myeloid)	cldn5b, vsg1, ecscr, srgn, clic2, myct1a, mrc1a, clec14a, sox7, gpr182, etv2, yrk, dab2, tmem88a, pecam1
514	3 dpf	52	2d-54	olfactory bulb	pvalb5, s100z, cldnh, calb2a, fabp10b, anxa5b, capsla, vsig8a, epcam, f11r.1, sepw2b, abhd2b, tspan35, ompb
515	3 dpf	53	NA	pectoral fin/integument 	tnmd, msx1b, msx3, csf1b, fstl3, csf1a, ucmaa, tnw, wnt11r, fmoda, ism1, eng1b, ca6, cdon
516	3 dpf	54	2d-65	pigment cell (iridophore)	defbl1, lypc, apoda.1, pnp4a, gpnmb, akap12a, impdh1b, aqp1a.1, gmps, myo5b, tagln3b, nme4, fhl3a
517	3 dpf	55	2d-53	RPE	rpe65a, rlbp1b, rgra, mb, rdh5, dct, stra6, rbp5, rbp4l, irbp, tyrp1b, pmela, fabp11b, inpp5ka
518	3 dpf	56	2d-39	pectoral fin (chondroblast)	and2, hoxa11b, hoxd9a, emilin3a, hoxa13b, hoxd12a, hoxa9b, tbx5a, hoxa10b, hoxd11a, clic2, ntd5
519	3 dpf	57	NA	purkinje neurons (gabaergic ++)	aldoca, pvalb7, pcp4l1, dazap1, ca8, casq2, itpr1b, dgkh, grm1a, plxdc1
520	3 dpf	58	NA	epidermis	krt1-c5, irg1l, sox21a, nkx2.7, cbln20, col17a1b, she, six2b, wnt2
521	3 dpf	59	2d-61	neutrophils	ccr9a, erv, coro1a, CD53, wasb, wasa, dub, rgs13, parvg, ccr9b, rac2, crip1 
522	3 dpf	60	NA	dorsal habenula	gng8, kctd12.1, cnih3, NWD2, synpr, syt6b, g0s2, bean1, pou4f1 syt9b, zic2a, zic3, zic1, ngb
523	3 dpf	61	2d-63	otic vesicle	s100t, s100s, anxa5a, gpx1b, cabp2b, tmc2a, atp1b2b, s100a1, calml4a, otofb, rbm24a, gipc3, twf2b
524	3 dpf	62	2d-62	lens	crybbb1l1, lim2.4, crybb1l2, mipb, mipa, lim2.1
525	3 dpf	63	NA	epithelium (cornea, progenitors)	ndufa4l2a, rasl12, kcne4, myh11a, rbpms2b, ednraa, fhl3b, rgs5a, foxl1, col4a1, foxc1a
526	3 dpf	64	2d-56	retina neurons	rem1, prkar2ab, pde6g, cx52.9, prox1a, ompa, pax6a, tfap2a, fabp7a, pax6b, six6b
527	3 dpf	65	NA	retina (muller glia)	ca14, hyal6, vil1, anks4b, gpr37a, ush1c, rlbp1a, glula, fabp7a, glulb, acd7, rhbg
528	3 dpf	66	2d-61	neutrophils	lyz, npsn, srgn, mpx, fcer1gl, lect2l, mmp13a, scpp8, gapdh, arpc1b, coro1a, lta4h, cpa5, il4, gsto2
529	3 dpf	67	NA	dermal bone	col10a1a, ifitm5, cd81b, sgms2, entpd5a, phex, panx3, pltp, bgna, spp1, scpp5, stc2a
530	3 dpf	68	2d-8	retina (rods)	sagb, gnat1, saga, rom1b, cnga1, pdca, rhol, pde6b, aipl1, grk1a, rho, gngt1, pde6g, elovl4b
531	3 dpf	69	2d-55	eye (non retina)	krt1-19d, krt92, ponzr5, icn, sceI, krt97, anxa1c, cldne, icn2, ppl, lye, cldnb, epcam, cd9b, anxa1b
532	3 dpf	70	2d-68	OPC	olig2, olig1, aplnra, aplnrb, tmem178, traf4a, syt9b, cd82a, atcaya, rassf2a, bcan, sema5am sox10
533	3 dpf	71	NA	cornea	scinla, gyg1b, qdpra, pcbd1, tubb6, pitx2
534	3 dpf	72	NA	floor plate	sparcl1, hpgd, ptn, urp2, ntn1b, slit1b, wnt4b, ldlrad2, s100b, lcn15, pkd1b, rnf32, shha, foxa1, loxl5b, cd81b, foxa2
535	5 dpf	0	3d-0	optic tectum (gabaergic)	tal1, gata3, six3a, gad2, gata2a, gad1b, slc6a1b, slc32a1, nxph1, six3b, lhx5, atp6v0cb, lhx1a
536	5 dpf	1	NA	ventral forebrain (dienc, hyp, poa; gabaergic)	dlx5a, dlx2a, gad2, dlx6a, lhx6, vax1, gad1b, dlx1a, islr2, slc32a1, slc6a1b, necab1
537	5 dpf	2	NA	diencephalon (tuberculum; gabaergic)	otpa, otpb, lhx1a, gad1b, cdh8, slc32a1, elavl4, slc6a1b, gad2, lhx5, calb1, snap25a
538	5 dpf	3	NA	dorsal diencephalon (thalamus)	tcf7l2, tfap2d, cbln2b, lmo3, lhx9, barhl2, gpm6ab, sncb, ywhag2, stmn1b
539	5 dpf	4	NA	cartilage	ccl25b, pmp22a, serpinh1b, ifitm1, mfap2, cscl12a, krt8, col1a2, col1a1a, rbp4, rgs5a, pcolcea
540	5 dpf	5	NA	mid-hind boundary (gabaergic)	pax2a, gbx1, klhl14, pax8, hoxd3a, snap25a, mab21l2, hoxb3a, elavl4
541	5 dpf	6	NA	neurons (glutamatergic)	c1ql4a, c1ql4b, c1ql3a, adcyap1b, scl17a6b, lhx9, elavl4, hmp19
542	5 dpf	7	NA	optic tectum (gabaergic)	pax7a, pax7b, tal1, emx2, sox14, gad1b, otx2, penkb, gad2, gata3, slc32a1, slc6a1b
543	5 dpf	8	NA	neurons	neurod6b, neurod6a, neurod2, neurod1, id2b, bhlhe22, elavl4
544	5 dpf	9	NA	neurons	adcyap1b, scg2b, rprml, syt5b, ngb, scg2a, rgs5b
545	5 dpf	10	3d-38	neurons (glutamatergic)	vamp1, cplx2l, nefmb, atp1a3b, nefma, neflb, emp1, stmn3, slc17a6b
546	5 dpf	11	3d-43	hindbrain/cranial nerve	hoxb5a, hoxb5b, hoxa3a, hoxc5a, hoxb6a, hoxb6b, hoxd4a, hoxc3a, hoxd2a, hoxb3a
547	5 dpf	12	3d-4	neurons (glutamatergic)	scg2b, adcyap1b, sncb, snap25a, ywhag2, atp6v0cb, elavl4, eno1a, slc17a6b
548	5 dpf	13	NA	progenitors	stmn1a, pcna, ahcy, rpl3, rps3a, rpl12
549	5 dpf	14	NA	dorsal diencephalon (thalamus)	tfap2b.1, foxb1a, tfap2a, tfap2e, tfap2d, barhl2, pou4f2, pcp4a
550	5 dpf	15	3d-35	retina (cone bipolar cells)	vsx1, syt5b, stx3a, snx8b, samsn1a, rs1a, pvalb9, nrn1lb, neurod4, foxg1b, crx, stx3a
551	5 dpf	16	NA	neurons	-
552	5 dpf	17	3d-3	progenitors	her4.2, her4.1, her15.1, her15.2, her4.2.1, her2, her12, her4.4, sox3
553	5 dpf	18	NA	midbrain	atf5b, ddit3, cebpa, atf5a, hunk, sox4a.1, gadd45ga, sox11a, lhx9, barhl2
554	5 dpf	19	3d-12?	cartilage	col2a1a, matn4, col9a3, col9a1a, lect1, col9a2, col9a2, col11a1a, tgfbi, sparc, fmoda, cthrc1a, ogn
555	5 dpf	20	NA	hindbrain	phox2bb, phox2a, lmx1bb, drgx, tlx2, lbx2, shox2, cbln1, hoxa3a
556	5 dpf	21	3d-22	retina (amacrine, gabaergic)	tkta, bhlhe22, pax6a, pax6b, tfap2a, pax10, foxg1b, cacng5a, lrtm1, hmx4
557	5 dpf	22	NA	diencephalon	nrgnb, roraa, prkcda, tpgbl, dazap1, plxdc1, r3hdm1, cpne4a, esrrga, plch2a, gamt, hoxb3a, barhl2
558	5 dpf	23	NA	midbrain	hunk, sox4a.1, meis2b, mab21l2, ddit3, mycn
559	5 dpf	24	NA	telencephalon (pallium), glutamatergic	rtn4rl2b, rtn4rl2a, nrgna, itm2cb, bhlhe22, eomesa, egr3, draxin, zbtb18, egr2b, neurod6a, tbr1b
560	5 dpf	25	3d-3	progenitors	her4.2, hmgb2a, her15.2, her15.1, pcna, her4.1, her2, ccna2, mki67, aurkb
561	5 dpf	26	3d-36	telencephalon (pallium), glutamatergic	tbr1b, eomesa, emx3, draxin, neurod6b, slc17a6a, islr2
562	5 dpf	27	3d-33	retina (RGC)	rbpms2b, rbpms2a, isl2b, calb2b, tkta, pou4f1, hmx4, sncga, irx4a, glra4b, 
563	5 dpf	28	3d-60	dorsal habenula	tac3a, gng8, g0s2, sst1.1, synpr, cnih3, nrn1a, zic3, NWD2, kctd4, pou4f1, kctd12.1, syt9b
564	5 dpf	29	NA	dorsal diencephalon (thalamus)	barhl1a, pou4f2, calb2a, pcp4a, barhl1b, shox, lhx9, syt9b, barhl2, lef1, calb2b
565	5 dpf	30	3d-13	radial glia	ptgdsb.2, cx43, atp1b4, her4.1, fabp7a, mfge8a, atp1a1b, ptgdsb.1, ptn, her4.2.1, ptn, slc1a2b
566	5 dpf	31	3d-23	retina (cones)	opn1mw1, gngt2b, pde6h, gnb3b, rbp4l, gnat2, rcvrn2
567	5 dpf	32	NA	mid-hind boundary (gabaergic)	hmx2, hmx3a, meis3, tmie, hoxa3a, eng1b, lhx1a, slc32a1, onecut1, lhx5, calb1, elavl4
568	5 dpf	33	3d-47	cranial ganglion (vagal)	prph, phox2a, phox2bb, tac1, slc18a3a, neflb, isl2a, slc5a7a, nefmb
569	5 dpf	34	3d-48	hypothalamus	pdyn, cbln1, kctd4, sox1b, nr0b1, fezf1, nr5a2, sox1a, avp, tac1, phlda2
570	5 dpf	35	NA	hypothalamus	prdx1, scgn, insm1b, txn, scg3, th2, nr4a1, mt2, chgb, egr2b, ccka, ak5l, tph1a
571	5 dpf	36	3d-37	progenitors/differentiating granule cells (hindbrain)	zic2a, zic5, zic1, zic4, zic3, zic2b, elavl4, rtn1a, islr2, atp6v0cb, tcf7l2
572	5 dpf	37	NA	hypothalamus	otpa, otpb, crhbp, bsx, trh, fezf1, scg2b, plk2b, rasd1, rgs5b, scg2a, bhlhe41, cpne2
573	5 dpf	38	NA	progenitors/neurons (differentiating)	her15.1, her15.2, her4.2, her4.1, dla, dlb, ebf2, her2
574	5 dpf	39	NA	granule cells	zic2a, neurod1, zic5, cspg5b, nebl, zic1, zbtb18, fat2, zic4, gsg1l, draxin, olfm2b
575	5 dpf	40	3d-16	epidermis (progenitors)	krt5, krt91, krtt1c19e, krt91, pfn1, cldni, aep1, ptgdsb.1, krt15
576	5 dpf	41	3d-7	erythrocytes	hbae3, hbbe1.1, hbbe2, cahz
577	5 dpf	42	3d-62	lens	crybb1, cryba4, crygmx, cryba1, crybba1k1, crygn2, cryba2b, crygm2d8
578	5 dpf	43	NA	lens	crygm2d15, crygm2d5, crygm2d1, crygm2d18
579	5 dpf	44	3d-12	eye (cornea), cartilage	col1a2, ogn, col1a1a, sparc, tnw, serpinh1b, mmp2, angptl7, tgfbi, pmp22a, matn4, mfap2
580	5 dpf	45	3d-65	retina (muller glia)	rlbp1a, apoeb, mt2, cyp2ad3, rhbg, cyp26a1, cahz, gstp1, cx43, s1pr1, ca14
581	5 dpf	46	NA	otic/lateral line	agr2, epcam, cldnb, cldnh, cd9b, f11r.1, cldn7b, spint2, s100u, oclna, eif3
582	5 dpf	47	3d-60	dorsal habenula	gng8, kctd12.1, cnih3, synpr, NWD2, pou4f1, pdyn, ano2, cpne4b, zic5, nr4a3
583	5 dpf	48	NA	telencephalon	rpml, fezf1, pdyn, rasd1, syt5b, cpne2, foxg1a, nrgna, kctd12.2, ngb, cyth4a, syt9b
584	5 dpf	49	NA	neurons	actc1b, mylpfa, pvalb2, krtt1c19e, tnnt3b, mylz3, pvalb1, cyt1, elavl4
585	5 dpf	50	3d-63	epithelium (cornea, progenitors)	ndufa4l2a, aoc2, rasl12, tfpia, acta2, ednraa, myl9b, angptl3, pmp22a, rbpms2b, snai1a
586	5 dpf	51	3d-71	cornea	scinla, gyg1b, hgd, hpdb
587	5 dpf	52	NA	ventral forebrain (dienc, hyp, poa; gabaergic)	gsx1, nkx2.4a, nkx2.4b, prox1b, oprd1b, tac1, prox1a, nrgna, prkcbb, ccka, rgs5b
588	5 dpf	53	NA	neurons (dienc, glutamatergic, ZLI)	pitx2, foxa2, foxa1, islr2, cdh8, elavl4, slc17a6b
589	5 dpf	54	NA	ventral habenula	kiss1, prkcq, prox1a, aoc1, csrp2, wnt11r, nts, ak5
590	5 dpf	55	NA	neurons (telencephalon)	ppp1r1c, prkcbb, camk2a, iqsec2, raver2, cntln, lrmp, add3b, pvalb7, bbtbd17b, nrgna, shox2
591	5 dpf	56	3d-57	purkinje neurons (gabaergic ++)	aldoca, pvalb7, pbxip1b, pcp4l1, ca8, casq2, slc1a3b, itpr1b, dazap1, dgkh, dgkaa
592	5 dpf	57	3d-11	retina (photoreceptor precursor cells)	rs1a, crx, gngt2a, tulp1a, elovl4b, six7, arp2b1b, tmem244, otx5, arl13a, opn6a
593	5 dpf	58	3d-46	microglia	ccl34b.1, apoc1, apoeb, fcer1gl, havcr1, lgals2a, mfap4, g0s2, gng10
594	5 dpf	59	NA	neurons (midbrain?, glutamatergic)	lhx4, nkx6.1, shox2, shox, mabb21l2, meis2b, snap25a, pou3f1, meis3, esrrga, elavl4, tmie
595	5 dpf	60	NA	progenitors (cycling)	kpna2, ube2c, nusap1, cdk1, aspm, cdc20, tpx2, plk1, aurkb
596	5 dpf	61	NA	hypothalamus	nts, bsx, htr1ab, nr4a2b, erv, scg2b, vat1, alcamb, gch1, isl1, txn, gata3, insm1b, tal1
597	5 dpf	62	NA	hypothalamus	tph2, txn, ddc, fev, gata2a, slc18a2, gata3, lmx1bb, htr1d, prdx1, penka, eng1b, elavl4, oprl1
598	5 dpf	63	3d-14	pharangeal arch/pectoral fin (mesoderm)	krt94, krt15, osr1, col6a1, klf2a, sost, pcolcea, col6a2
599	5 dpf	64	3d-64	retina neurons (horizontal?)	ompa, opn9, prkar2ab, rprmb, opn4.1, slc6a1l, slc4a5, btbd17, rem1, vtnb
600	5 dpf	65	3d-29	cartilage	matn1, mia, col2a1a, col9a3, col9a1a, lect1, col11a1a, col9a2, ucmab, epyc
601	5 dpf	66	3d-27	eye (cornea, epithelium)	aqp3a, slc43a3b, myl9a, fmoda, tnw, wfdc2, cyr61, acta2, ntd5, foxc1a, jam2b, tagln, foxl1, foxf2a
602	5 dpf	67	3d-51	rostral blood island (myeloid)	krt18, igfbp1a, jam2a, srgn, rgcc, podxl, cldn5b, krt94, vsg1, clic2, slco1d1, acvrl1
603	5 dpf	68	3d-40	oligodendrocytes	rgcc, scn4ab, phlda2, tuba8l3, zwi, sox10, krt8, hbegfb, hepacama, mbpa, 
604	5 dpf	69	3d-24	neurons (ganglion)	vim, tuba8l3, sst6, eya1, pou4f1, six1b, eya4, tmsb, alcama, prph, chga, insm1b, tlx2, scrt2
605	5 dpf	70	3d-59	neutrophils	pfn1, erv, srgn, cebpb, arpc1b, ccr9a, coro1a, rac2, grap2b, fcer1gl, wasb, ahcy, tln1
606	5 dpf	71	3d-32	muscle	mylpfa, actc1b, mylz3, atp2a1, myl1, ckmb, vwde, myl4, tpm2, ckma, tubba8l3, myog, ttn.2
607	5 dpf	72	3d-68	retina (rods)	gnat1, sagb, rom1b, rom1a, saga, cnga1, pdca, pde6a, rhol, grk1a
608	5 dpf	73	3d-54	pigment cell (iridophore)	defbl1, lypc, apoda.1, pnp4a, gpnmb, akap12a, urah, rhag, ponzr1
609	5 dpf	74	3d-37	glial progenitors	fabp7b, fabp7a, prss35, vim, wls, s100b, msx3, cx43, hepacama, s1pr1
610	5 dpf	75	3d-47	cranial ganglion (vagal)	entpd3, p2rx2, isl2a, prph, pmp22b, phox2a, plscr3b, phox2bb, p2rx3b, tppp2, htr3a, tusc5b
611	5 dpf	76	NA	neurons (glutamatergic, midbrain)	ompa, eng1b, calb2a, cbln1, pax2a, c1ql4b, eng2b, ebf3a, lhx9, neurod6b, slc17a6a
612	5 dpf	77	NA	cranial ganglion	nrgnb, dazap1, plxdc1, lmo7a, smpx, itpr1b, rprma, ppp1r1b, syt9b, grm5a, roraa, dgkh
613	5 dpf	78	NA	hypothalamus	synpr, pyyb, sst3, sp8a, chodl, dlx2b, dlx1a, sall3a, dlx5a, tac1, dlx2a, oprd1b, gad2, gad1b
614	5 dpf	79	3d-55	retina (RPE)	fabp11b, rlbp1b, rpe65a, mb, dct, irbp, tyrp1b, pmela, rgra, rdh5
615	5 dpf	80	3d-52	olfactory bulb	pvalb5, s100z, cldnh, fabp10b, anxa5b, visg8a, f11r.1, capsla, enkur, blk
616	5 dpf	81	3d-69	eye (non retina)	krt17, anxa1c, epcam, mid1ip1a, cldnb, cldne, lye, krt92, cd9b, cfl1l, rhcga, scel
617	5 dpf	82	NA	neurons (gabaergic)	sst1.1, sst3, cxcl14, tac1, pax7a, rgcc, lrrn1, npr3, shisa9a, otpa, gad1b, pax7b, nrgna, msi2b
618	5 dpf	83	3d-40	oligodendrocytes	mbpa, cd59, mbpb, zwi, plp1b, cldnk, cldn19, pmp22b, elovl1b, fabp2, cx27.5, egr2b
619	5 dpf	84	3d-39	glia (eye)	wu:fj16a03, fxyd1, bhmt, rbp4, cx43, igfbp2a, lpl, fabp11a, slc7a8a, epd, apof, lxn
620	5 dpf	85	3d-39	glia (mature)	epd, ggctb, soul5, fxyd1, igfbp2a, fabp11a, rbp4, sepp1a, mdka, cygb1, atp1b4
621	5 dpf	86	3d-41	retina (RPE differentiation)	tyrp1b, pmela, dct, slc45a2, tyrp1a, pah, oca, grhprb
622	5 dpf	87	NA	dorsal dienchephalon (thalamus)	havcr2, cxcl14, pou4f2, neurod1, gng13b, pcp4a, tfap2b.1, cited4b, cdh4, zbtb18, mfge8b
623	5 dpf	88	3d-61	otic vesicle	s100t, s100s, atp1b2b, gpx1b, s100a1, tmc2a, cabp2b, rtn4rl2b, otofb
624	5 dpf	89	3d-34	neural crest derived (pigment/xanthophore)	wu:fc46h12, gch2, urah, slc22a7a, aox5, bco1, cax1, tat, pon1, cs30.3, mitfa
625	5 dpf	90	3d-51	rostral blood island (myeloid)	mrc1a, sepp1a, crsla, clic2, cpn1.2, gng10, cd63, osr2, dab2, tfpia, etv2, ecscr
626	5 dpf	91	3d-67	dermal bone	col10a1a, ifitm5, cd81b, spp1, entpd5a, phex, sgms2, panx3, bgna, col11a2, pltp, fpr1, loxl4
627	5 dpf	92	NA	dorsal telencephalon (glutamatergic)	tac3b, tbr1b, gabrr2b, parietopsin, nmbb, emx3, grm2a, apof, tdp52, p2rx3b, pawr, mdm2, prex1, slc17a6a
628	5 dpf	93	3d-70	OPC	olig2, aplnrb, olig1, sema5a, cd82a, aplnra, traf4a, cd63
629	8 dpf	0	5d-0	optic tectum (gabaergic)	tal1, six3a, gata3, gad2, gata2a, gad1b, slc6a1b, emx2, nxph1, six3b, lhx1a
630	8 dpf	1	5d-2	diencephalon (tuberculum; gabaergic)	otpa, otpb, cdh8, gad2, slc6a1b, lhx1a, gad1b, scg2b, 
631	8 dpf	2	5d-9	neurons	scg2b, rgs5b, rasd1, ngb, syt5b, rprml, cpne2, nrgna, plk2b
632	8 dpf	3	5d-1	ventral forebrain (dienc, hyp, poa; gabaergic)	dlx5a, dlx2a, dlx6a, gad2, gad1b, slc6a1b, slc32a1, islr2, necab1, dlx1a*
633	8 dpf	4	5d-3	dorsal diencephalon (thalamus)	tcf7l2, lhx9, cbln2b, barhl2, pou4f2, lmo3, pou3f1, nrgnb, calb2a, ngb
634	8 dpf	5	NA	midbrain (gabaergic)	eng1b, pax2a, eng2a, hoxb3a, elavl4, lhx1a, gad1b, slc32a1, gad2, 
635	8 dpf	6	NA	neurons (dienc, differentiating)	pitx2, gpm6ab, snap25a, islr2, cdh8, ptgdsb.2, ptgdsb.1, elavl4
636	8 dpf	7	5d-6	neurons (glutamatergic)	irx4a, c1ql4a, c1ql4b, c1ql3a, slc17a6b, elavl4, pax2a, adcyap1b, lhx9, eng1b
637	8 dpf	8	5d-29	dorsal dienchephalon (thalamus)	barhl1a, barhl2, tcf7l2, tfap2d, lhx9, pou4f2, zch4h2, lmo3, pou3f1
638	8 dpf	9	NA	neurons	adcyap1b, cbln1, scg2b, rtn1b, elavl4, snap25a, stmn4, egr4, 
639	8 dpf	10	5d-17	progenitors	her2, her12, her4.1, her4.2, her15.1, her15.2, her9, slc1a3b, sox19a, cd82a, sox3, dla, s1pr1, fgfrl1a, hells
640	8 dpf	11	5d-24	telencephalon (pallium), glutamatergic	rtn4rl2b, rtn4rl2a, nrgna, eomesa, bhlhe22, draxin, egr3, bhlhe23, neurod6a, gabrb3, gem, neurod6b, egr2b, slc17a6a
641	8 dpf	12	5d-25	progenitors	pcna, stmn1a, her15.2, her15.1, her12, her2, hells, lig1, 
642	8 dpf	13	5d-38	progenitors/neurons (differentiating)	her15.1, her14.2, her4.2, dla, cdkn1ca, dlb, ebf2, her2, neurod4, 
643	8 dpf	14	5d-10	neurons (glutamatergic)	vamp1, nefma, nefmb, nefla, atp1a3b, pvalb6, emp1, neflb, stmn3, scn4ba, pcdh7a, slc17a6b, fgf12a
644	8 dpf	15	5d-39	granule cells	zic2a, zic1, zic5, nebl, fat2, zic4, cspg5b, neurod1, zbtb18, neurod2, pax6b, draxin, eng2b, eng1b, pax7a, insm1a, 
645	8 dpf	16	5d-14	dorsal dienchephalon (thalamus)	foxb1a, tfap2b.1, tfap2e, tfap2a, pou4f2, pcp4a, barhl2, pou4f1, cbln2b, lhx9
646	8 dpf	17	5d-51	cornea	scinla, gyg1b, fmoda, hgd, krt8, rbp4, fxyd1, aldob, aqp3a, alpl, tkta, mfap2, pcbd1
647	8 dpf	18	5d-25	progenitors	her12, her15.2, her15.1, her4.2, her2, her4.1, plk1, aurkb, tpx2, top2a, ascl1b.1, chaf1a, msna, dld, dbx1a
648	8 dpf	19	5d-28	dorsal habenula	tac3a, gng8, sst1.1, kctd12.1, zic2a, bean1, syt9b, g0s2, tgfbi, synpr, cnih3, pou4f1, NWD2
649	8 dpf	20	NA	neurons (glutamatergic)	islr2, slc17a6b, pvalb6, olfm3a, atp1b1b, elavl4
650	8 dpf	21	5d-13	progenitors	stmn1a, gnb2l1, rpl5b, rpl22l1, hmgb2b, fabp7a, hmgb2a
651	8 dpf	22	5d-7	optic tectum (gabaergic)	pax7a, pax7b, tal1, sox14, emx2, gad1b, slc32a1, gad2, slc6a1b, gata3, tfap2a, tfap2b.1, tfap2e
652	8 dpf	23	5d-30	radial glia	cx43, mfge8a, ptgdsb.2, atp1a1b, slc1a2b, atp1b4, her4.2.1, her4.3, her4.4, ptn, s1pr1, cspg5b
653	8 dpf	24	5d-11	hindbrain/cranial nerve	hoxb5a, hoxb5b, hoxa3a, hoxc5a, hoxb6a, hoxd4a, hoxd3a, hoxc3a, tmie, meis3, hoxb3a, meis2b, meis1b
654	8 dpf	25	5d-27	retina (RGC)	rbpms2b, rbpms2a, isl2b, calb2b, nrgna, pou4f2, tkta, hmx4, foxg1b, six3b, isl1
655	8 dpf	26	5d-8	neurons	neurod6b, neurod2, neurod6a, id2b, calb2a, elavl4, neurod1, nfia
656	8 dpf	27	5d-41	erythrocytes	hbae3, hbbe1.1, hbbe2, hbbe1.2, cahz, hbz, creg1, slc4a1a, alas2
657	8 dpf	28	5d-21	retina (amacrine, gabaergic)	pax6b, pax10, pax6a, tkta, tfap2a, six6b, foxg1b, hmx4, slc32a1, slc6a9, bhlhe22
658	8 dpf	29	5d-23	midbrain	hunk, sox4a.1, sox11a, meis2b, nr2f1a
659	8 dpf	30	NA	eye	crybb1, cryba4, crygmx, cryba1l1, crygn2, cryba1b, fabp7a, rho, gngt2b, opn1sw1, opn1lw2, fabp11a, opn1mw1
660	8 dpf	31	5d-60	progenitors (cycling)	ube2c, kpna2, crabp2a, nusap1, cdk1, plk1, mad2l1, ccna2, stmn1a, hmgb2a, tuba8l
661	8 dpf	32	5d-15	retina (cone bipolar cells)	rs1a, nrn1lb, gnb3a, vsx1, lrit1a, crx, efna1b, neurod4, pvalb9, syt5b, cplx4a, foxg1b, lhx4
662	8 dpf	33	5d-31	retina (cones)	arr3a, rbp4l, opn1mw1, gngt2b, rcvrn2, gnb3b, gnat2, rcvrn3, arr3b, pde6c, pdcb, prph2a
663	8 dpf	34	NA	progenitors	stmn1a, rpl29, rpl5b, rps29, rpl39
664	8 dpf	35	5d-57	retina (photoreceptor precursor cells)	gngt2a, crx, tulp1a, elovl4b, prdm1a, nr2e3, opn6a, six7, otx5, tmx3, aplnra, aplnrb
665	8 dpf	36	5d-20	hindbrain	phox2bb, phox2a, shox2, lbx2, cbln2b, cbln1, lmx1bb, shox
